Model,Drive,Fuel,Veh Class,Comb CO2
G90 AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars,448
G90 AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars,493
G90 RWD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Large Cars,454
G90 RWD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Large Cars,482
Elantra GT,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,317
Elantra GT,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,363
Elantra GT,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,327
Elantra GT,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,338
Sonata,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,284
Sonata,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,342
Sonata,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,316
Sonata SE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,308
Forte5,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,332
Forte5,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,353
Forte5,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,317
Optima,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,286
Optima,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,360
Optima,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,321
Optima FE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Large Cars,310
QUATTROPORTE S,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Large Cars,482
QUATTROPORTE SQ4 V6,All Wheel Drive,Gasoline (Premium Unleaded Required),Large Cars,485
QUATTROPORTE V8,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Large Cars,517
allroad quattro,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small Station Wagons,350
330i xDrive Sports Wagon,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small Station Wagons,333
SONIC 5,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,296
SONIC 5,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,280
500L,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Small Station Wagons,356
FIT,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,246
FIT,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,267
FIT,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,282
Soul,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,320
Soul,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,330
Soul,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,335
Soul,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,334
IMPREZA 5-Door,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Station Wagons,282
IMPREZA 5-Door,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Station Wagons,335
IMPREZA SPORT 5-Door,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Station Wagons,292
IMPREZA SPORT 5-Door,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Station Wagons,351
V60 AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Station Wagons,338
V60 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Small Station Wagons,345
V60 CC AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Station Wagons,354
V60 FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Station Wagons,304
V60 Polestar AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Small Station Wagons,393
AMG GLA 45 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Station Wagons,361
GLA 250,2-Wheel Drive  Front,Gasoline (Premium Unleaded Required),Midsize Station Wagons,322
V90 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Station Wagons,354
V90 CC AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Station Wagons,361
V90 CC AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Midsize Station Wagons,344
V90 FWD,2-Wheel Drive  Front,Gasoline (Premium Unleaded Required),Midsize Station Wagons,322
COLORADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 2WD,406
COLORADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 2WD,403
COLORADO 2WD,2-Wheel Drive  Rear,Diesel  ultra low sulfur (15 ppm  maximum),Small Pick-up Trucks 2WD,413
COLORADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 2WD,440
CANYON 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 2WD,406
CANYON 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 2WD,403
CANYON 2WD,2-Wheel Drive  Rear,Diesel  ultra low sulfur (15 ppm  maximum),Small Pick-up Trucks 2WD,413
CANYON 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 2WD,440
RIDGELINE FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 2WD,410
COLORADO 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 4WD,429
COLORADO 4WD,4-Wheel Drive,Diesel  ultra low sulfur (15 ppm  maximum),Small Pick-up Trucks 4WD,450
COLORADO 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 4WD,463
COLORADO ZR2 4WD,4-Wheel Drive,Diesel  ultra low sulfur (15 ppm  maximum),Small Pick-up Trucks 4WD,506
COLORADO ZR2 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 4WD,532
CANYON 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 4WD,429
CANYON 4WD,4-Wheel Drive,Diesel  ultra low sulfur (15 ppm  maximum),Small Pick-up Trucks 4WD,450
CANYON 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small Pick-up Trucks 4WD,463
C15 SILVERADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,448
C15 SILVERADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,476
C15 SILVERADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,475
C15 SILVERADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,495
C15 SILVERADO 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,447
C15 SILVERADO 2WD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Standard Pick-up Trucks 2WD,522
C15 SIERRA 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,448
C15 SIERRA 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,475
C15 SIERRA 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,475
C15 SIERRA 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,495
C15 SIERRA 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 2WD,447
C15 SIERRA 2WD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Standard Pick-up Trucks 2WD,517
K15 SILVERADO 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 4WD,473
K15 SILVERADO 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 4WD,522
K15 SILVERADO 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 4WD,490
K15 SILVERADO 4WD,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard Pick-up Trucks 4WD,524
K15 SIERRA 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 4WD,474
K15 SIERRA 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 4WD,522
K15 SIERRA 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 4WD,490
K15 SIERRA 4WD,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard Pick-up Trucks 4WD,524
RIDGELINE AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard Pick-up Trucks 4WD,424
Transit Connect Van 2WD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 2WD,392
TRANSIT CONNECT VAN FFV,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 2WD,392
TRANSIT CONNECT WAGON FFV,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 2WD,404
TRANSIT CONNECT WAGON FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 2WD,404
TRANSIT CONNECT WAGON LWB FFV,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 2WD,404
Transit Connect Wagon LWB FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 2WD,404
Promaster City,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 2WD,374
MKT LIVERY AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle 4WD,493
C15 SILVERADO 2WD CAB CHASSIS,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle cab chassis,523
COLORADO CAB CHASSIS 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle cab chassis,589
K15 SILVERADO 4WD CAB CHASSIS,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle cab chassis,523
C15 SIERRA 2WD CAB CHASSIS,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle cab chassis,523
CANYON CAB CHASSIS 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle cab chassis,589
K15 SIERRA 4WD CAB CHASSIS,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle cab chassis,523
Pacifica,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle  minivan 2WD,401
ODYSSEY FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle  minivan 2WD,395
ODYSSEY FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle  minivan 2WD,406
Sedona,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle  minivan 2WD,443
Sedona SX,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle  minivan 2WD,433
Sedona SXL,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Special Purpose Vehicle  minivan 2WD,476
RDX FWD,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Small SUV 2WD,386
ENCORE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,298
XT5,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,405
EQUINOX FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,314
EQUINOX FWD,2-Wheel Drive  Front,Gasoline (Premium Unleaded Required),Small SUV 2WD,355
TERRAIN,2-Wheel Drive  Front,Gasoline (Premium Unleaded Required),Small SUV 2WD,369
Santa Fe FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,427
Santa Fe Sport FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,388
Santa Fe Sport FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,379
Santa Fe Sport ULTIMATE FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,396
Santa Fe Ultimate FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,457
Cherokee FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,361
Cherokee FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,361
Cherokee FWD,2-Wheel Drive  Front,Gasoline (Mid Grade Unleaded Recommended),Small SUV 2WD,377
Compass 4X2,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,350
Compass 4X2,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,339
Sorento FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,397
Sorento FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,377
Sorento FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,436
Sportage FE FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,351
Sportage FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,392
Sportage FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,358
CX-9 2WD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,362
GLC 300,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Small SUV 2WD,364
Atlas,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,438
Tiguan,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Small SUV 2WD,368
RDX AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,402
Stelvio AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,364
Q5,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,363
SQ5,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,434
X4 M40i,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,429
X4 xDrive28i,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,384
ENCORE AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,335
ENCORE AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,319
XT5 AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,423
EQUINOX AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,337
EQUINOX AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,367
TRAX AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,335
TERRAIN AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,339
TERRAIN AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,386
Santa Fe AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,433
Santa Fe Sport AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,410
Santa Fe Sport AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,406
Santa Fe Sport ULTIMATE AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,425
Santa Fe Ultimate AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,475
F-Pace,All Wheel Drive,Diesel  ultra low sulfur (15 ppm  maximum),Small SUV 4WD,352
F-Pace,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,365
F-Pace,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,446
Cherokee 4X4,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,378
Cherokee 4X4,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,378
Cherokee 4X4,All Wheel Drive,Gasoline (Mid Grade Unleaded Recommended),Small SUV 4WD,388
Cherokee 4x4 Active Drive II,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,385
Cherokee 4x4 Active Drive II,4-Wheel Drive,Gasoline (Mid Grade Unleaded Recommended),Small SUV 4WD,416
Cherokee Trailhawk 4X4,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,412
Cherokee Trailhawk 4X4,4-Wheel Drive,Gasoline (Mid Grade Unleaded Recommended),Small SUV 4WD,432
Compass 4X4,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,358
Compass 4X4,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,355
Sorento AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,414
Sorento AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,397
Sorento AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,465
Sorento AWD FE,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,434
Sportage AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,424
Sportage AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,397
Sportage FE AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,400
Range Rover Velar,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,439
CX-9 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,391
AMG GLC 43 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,443
AMG GLC 43 4MATIC (coupe),4-Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,438
GLA 250 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,337
GLA 250 4MATIC,Part-time 4-Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,337
GLC 300 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,374
GLC 300 4MATIC (Coupe),4-Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,375
CROSSTREK,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,301
CROSSTREK,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,353
FORESTER,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Small SUV 4WD,359
FORESTER,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,315
FORESTER,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,368
OUTBACK,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,320
OUTBACK,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,398
Atlas 4Motion,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,454
Tiguan 4Motion,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Small SUV 4WD,382
XC60 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,367
XC60 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Small SUV 4WD,385
ESCALADE 2WD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Standard SUV 2WD,517
C1500 SUBURBAN 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 SUBURBAN 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 TAHOE 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 TAHOE 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 TAHOE 2WD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Standard SUV 2WD,517
TRAVERSE,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,416
Durango RWD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,414
Flex FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
ACADIA FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,386
ACADIA FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,423
C1500 YUKON 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 YUKON 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 YUKON 2WD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Standard SUV 2WD,517
C1500 YUKON XL 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 YUKON XL 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
C1500 YUKON XL 2WD,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Standard SUV 2WD,517
Grand Cherokee 4X2,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,414
MKT FWD,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,468
GLE 350,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Standard SUV 2WD,440
ARMADA 2WD,2-Wheel Drive  Rear,Gasoline (Regular Unleaded Recommended),Standard SUV 2WD,555
XC90 FWD,2-Wheel Drive  Front,Gasoline (Premium Unleaded Required),Standard SUV 2WD,353
Q7,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Standard SUV 4WD,415
Q7,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Standard SUV 4WD,419
Bentayga,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Standard SUV 4WD,596
ESCALADE 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,533
K1500 SUBURBAN 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,504
K1500 SUBURBAN 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,483
K1500 TAHOE 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,497
K1500 TAHOE 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,497
K1500 TAHOE 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,523
TRAVERSE AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,444
Durango AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,427
Durango SRT AWD,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Standard SUV 4WD,584
FLEX AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,523
FLEX AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,494
ACADIA AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,392
ACADIA AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,442
K1500 YUKON 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,497
K1500 YUKON 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,497
K1500 YUKON 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,523
K1500 YUKON XL 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,504
K1500 YUKON XL 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,483
K1500 YUKON XL 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,548
Grand Cherokee 4X4,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,427
Grand Cherokee SRT 4x4,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Standard SUV 4WD,592
MKT AWD,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,523
LEVANTE,All Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,548
LEVANTE S,All Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,557
AMG GLE 43 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,454
AMG GLE 43 4MATIC (coupe),4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,459
AMG GLE 63,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,586
AMG GLE 63 S,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,586
AMG GLE 63 S (coupe),4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,582
AMG GLS 63,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,591
GLE 350 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,457
GLE 350 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,457
GLS 450 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,477
GLS 550 4MATIC,4-Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,556
ARMADA 4WD,4-Wheel Drive,Gasoline (Regular Unleaded Recommended),Standard SUV 4WD,587
XC90 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,365
XC90 AWD,All Wheel Drive,Gasoline (Premium Unleaded Required),Standard SUV 4WD,394
